date,sym,mkt,hml,wml
2024-07-16,JPM,0.6869775,1.170808,0.1172681
2024-07-16,TSLA,2.371154,-0.5650593,-1.227961
2024-07-16,XOM,0.3378442,0.7083272,-0.1403554
2024-07-17,AAPL,1.16071,-0.6756924,-0.3820892
2024-07-17,JPM,0.6949834,1.154149,0.1185894
2024-07-17,TSLA,2.391679,-0.6078627,-1.222636
2024-07-17,XOM,0.3422586,0.6988258,-0.1393808
2024-07-18,AAPL,1.183737,-0.6867848,-0.4019446
2024-07-18,JPM,0.7825616,1.111007,0.04279555
2024-07-18,TSLA,2.303293,-0.5604532,-1.149435
2024-07-18,XOM,0.3082595,0.7137301,-0.1095935
2024-07-19,AAPL,1.159255,-0.6920827,-0.3888345
2024-07-19,JPM,0.7666848,1.107352,0.05150385
2024-07-19,TSLA,2.362011,-0.5536441,-1.189215
2024-07-19,XOM,0.3651806,0.7234734,-0.1437944
2024-07-22,AAPL,1.135683,-0.6680157,-0.401554
2024-07-22,JPM,0.7681746,1.103169,0.05331009
2024-07-22,TSLA,2.40711,-0.6070448,-1.159435
2024-07-22,XOM,0.3574389,0.7293433,-0.1473022
2024-07-23,AAPL,1.116441,-0.669025,-0.3761937
2024-07-23,JPM,0.7601563,1.101971,0.06345483
2024-07-23,TSLA,2.413837,-0.6076901,-1.168313
2024-07-23,XOM,0.3864522,0.7314921,-0.1863396
2024-07-24,AAPL,1.088161,-0.6465852,-0.3652156
2024-07-24,JPM,0.8129149,1.058755,0.04380468
2024-07-24,TSLA,2.725444,-0.8591163,-1.281803
2024-07-24,XOM,0.3465923,0.7645346,-0.1742759
2024-07-25,AAPL,1.091615,-0.6424131,-0.3553514
2024-07-25,JPM,0.8115262,1.059713,0.04584919
2024-07-25,TSLA,2.706314,-0.8821544,-1.334789
2024-07-25,XOM,0.331805,0.7438831,-0.2204796
2024-07-26,AAPL,1.066241,-0.6397525,-0.3517117
2024-07-26,JPM,0.8343667,1.056924,0.0426429
2024-07-26,TSLA,2.638624,-0.875247,-1.325965
2024-07-26,XOM,0.3274666,0.743909,-0.2193393
2024-07-29,AAPL,1.061808,-0.630029,-0.336279
2024-07-29,JPM,0.8307323,1.065098,0.05541754
2024-07-29,TSLA,2.667196,-0.9438869,-1.434451
2024-07-29,XOM,0.3207328,0.7633357,-0.1918069
2024-07-30,AAPL,1.062124,-0.5997171,-0.3483531
2024-07-30,JPM,0.830352,1.092867,0.04510774
2024-07-30,TSLA,2.664463,-1.026187,-1.399743
2024-07-30,XOM,0.3204283,0.7821433,-0.1984734
2024-07-31,AAPL,1.042744,-0.5847816,-0.3471417
2024-07-31,JPM,0.7980241,1.115873,0.04683219
2024-07-31,TSLA,2.664029,-1.024533,-1.399296
2024-07-31,XOM,0.344919,0.7611276,-0.1993191
2024-08-01,AAPL,1.064197,-0.5686463,-0.3420367
2024-08-01,JPM,0.8222966,1.132913,0.05168236
2024-08-01,TSLA,2.804643,-0.9230108,-1.369794
2024-08-01,XOM,0.3666614,0.775993,-0.1954301
2024-08-02,AAPL,0.9957923,-0.6454175,-0.4072443
2024-08-02,JPM,0.8905313,1.216342,0.119501
2024-08-02,TSLA,2.861474,-0.8518886,-1.31166
2024-08-02,XOM,0.3357119,0.7387982,-0.2256279
2024-08-05,AAPL,1.123465,-0.6138236,-0.4376218
2024-08-05,JPM,0.8656055,1.212665,0.1263426
2024-08-05,TSLA,2.630503,-0.8968014,-1.251653
2024-08-05,XOM,0.3939818,0.7529368,-0.2395873
2024-08-06,AAPL,1.107098,-0.6141398,-0.4810222
2024-08-06,JPM,0.8854692,1.212445,0.1781523
2024-08-06,TSLA,2.62487,-0.8968816,-1.266027
2024-08-06,XOM,0.3924,0.7524283,-0.2448306
2024-08-07,AAPL,1.09265,-0.5627624,-0.4716217
2024-08-07,JPM,0.8864791,1.204803,0.176731
2024-08-07,TSLA,2.636625,-0.9479923,-1.274453
2024-08-07,XOM,0.3883083,0.773283,-0.2408938
2024-08-08,AAPL,1.057433,-0.5548133,-0.4710712
2024-08-08,JPM,0.9053388,1.20013,0.1766141
2024-08-08,TSLA,2.56623,-0.9299573,-1.271389
2024-08-08,XOM,0.451811,0.7579669,-0.2419486
2024-08-09,AAPL,1.060548,-0.5406368,-0.4402931
2024-08-09,JPM,0.9060955,1.203892,0.1860029
2024-08-09,TSLA,2.567262,-0.9219016,-1.254672
2024-08-09,XOM,0.454541,0.7691984,-0.2155635
2024-08-12,AAPL,1.053395,-0.5415852,-0.4222734
2024-08-12,JPM,0.9015041,1.202648,0.196843
2024-08-12,TSLA,2.570021,-0.9217756,-1.260366
2024-08-12,XOM,0.4485003,0.7680216,-0.2008291
2024-08-13,AAPL,1.036416,-0.5269651,-0.4061073
2024-08-13,JPM,0.9088274,1.193436,0.1891117
2024-08-13,TSLA,2.573568,-0.9225491,-1.263172
2024-08-13,XOM,0.415179,0.792785,-0.170004
2024-08-14,AAPL,1.036219,-0.5266451,-0.4057382
2024-08-14,JPM,0.9092945,1.194102,0.1895339
2024-08-14,TSLA,2.530058,-1.005819,-1.298267
2024-08-14,XOM,0.4193791,0.8026196,-0.1656116
2024-08-15,AAPL,1.023139,-0.5097803,-0.3997215
2024-08-15,JPM,0.9104195,1.191392,0.1875695
2024-08-15,TSLA,2.558489,-1.044643,-1.315648
2024-08-15,XOM,0.4314744,0.7864543,-0.1701311
2024-08-16,AAPL,1.028125,-0.4914977,-0.394279
2024-08-16,JPM,0.9096216,1.188518,0.1864623
2024-08-16,TSLA,2.566745,-1.010373,-1.303645
2024-08-16,XOM,0.422946,0.7535617,-0.1813802
2024-08-19,AAPL,1.015545,-0.4866257,-0.3932091
2024-08-19,JPM,0.9100803,1.187676,0.1863481
2024-08-19,TSLA,2.570234,-1.010996,-1.301663
2024-08-19,XOM,0.4252883,0.7521215,-0.1818349
2024-08-20,AAPL,1.015855,-0.4860779,-0.3936201
2024-08-20,JPM,0.9070413,1.178883,0.183145
2024-08-20,TSLA,2.57502,-0.9936337,-1.294243
2024-08-20,XOM,0.440639,0.8072905,-0.1557153
2024-08-21,AAPL,1.019452,-0.4691071,-0.3945853
2024-08-21,JPM,0.9040812,1.167971,0.1836549
2024-08-21,TSLA,2.577682,-0.9824027,-1.293574
2024-08-21,XOM,0.4426829,0.8117368,-0.1552171
2024-08-22,AAPL,1.011498,-0.4383579,-0.3767104
2024-08-22,JPM,0.9052127,1.16257,0.180748
2024-08-22,TSLA,2.592188,-1.051196,-1.332161
2024-08-22,XOM,0.4415242,0.8115539,-0.1550124
2024-08-23,AAPL,1.015243,-0.4277369,-0.3680085
2024-08-23,JPM,0.8956608,1.13813,0.1615611
2024-08-23,TSLA,2.616691,-0.9836044,-1.277201
2024-08-23,XOM,0.4438565,0.8235074,-0.1440174
2024-08-26,AAPL,1.012933,-0.4287553,-0.3702777
2024-08-26,JPM,0.8932777,1.137103,0.1575033
2024-08-26,TSLA,2.631469,-0.9755405,-1.254725
2024-08-26,XOM,0.4322214,0.8177662,-0.1605998
2024-08-27,AAPL,1.013031,-0.4264931,-0.3682915
2024-08-27,JPM,0.8938273,1.136761,0.1570706
2024-08-27,TSLA,2.615231,-0.9922681,-1.259892
2024-08-27,XOM,0.4256748,0.8061063,-0.1669327
2024-08-28,AAPL,1.011039,-0.412821,-0.3615308
2024-08-28,JPM,0.8958588,1.118857,0.1479802
2024-08-28,TSLA,2.606904,-0.9391099,-1.230462
2024-08-28,XOM,0.433857,0.7469486,-0.1987352
2024-08-29,AAPL,1.015517,-0.4147478,-0.38247
2024-08-29,JPM,0.8959969,1.11882,0.1459036
2024-08-29,TSLA,2.604263,-0.938588,-1.221534
2024-08-29,XOM,0.4376962,0.7449632,-0.2166652
2024-08-30,AAPL,0.9862716,-0.4361287,-0.3894507
2024-08-30,JPM,0.8934615,1.117326,0.1459451
2024-08-30,TSLA,2.646572,-0.9030714,-1.206574
2024-08-30,XOM,0.4247673,0.7339276,-0.2211276
2024-09-03,AAPL,0.9972834,-0.4495435,-0.3889302
2024-09-03,JPM,0.930994,1.072936,0.1481528
2024-09-03,TSLA,2.553073,-0.7886576,-1.203864
2024-09-03,XOM,0.4765324,0.6743496,-0.21697
2024-09-04,AAPL,1.004425,-0.4248057,-0.3755751
2024-09-04,JPM,0.927392,1.063722,0.1442345
2024-09-04,TSLA,2.509936,-0.8854407,-1.23862
2024-09-04,XOM,0.4864794,0.6926523,-0.2125783
2024-09-05,AAPL,0.996701,-0.4396866,-0.3812565
2024-09-05,JPM,0.923527,1.055886,0.1412497
2024-09-05,TSLA,2.448833,-1.017831,-1.291166
2024-09-05,XOM,0.4887839,0.6980787,-0.2102164
2024-09-06,AAPL,0.961681,-0.4476897,-0.3708451
2024-09-06,JPM,0.9586816,1.064044,0.1309186
2024-09-06,TSLA,2.598826,-0.9820724,-1.334141
2024-09-06,XOM,0.4787533,0.6947693,-0.2073524
2024-09-09,AAPL,0.9366018,-0.4434221,-0.3724236
2024-09-09,JPM,0.9859427,1.058709,0.1324198
2024-09-09,TSLA,2.588805,-0.9751267,-1.321624
2024-09-09,XOM,0.5238422,0.6852426,-0.207871
2024-09-10,AAPL,0.9355262,-0.4119694,-0.3588249
2024-09-10,JPM,0.9817687,1.17512,0.1873463
2024-09-10,TSLA,2.590201,-1.039371,-1.351448
2024-09-10,XOM,0.5207405,0.7637072,-0.1687729
2024-09-11,AAPL,0.9349232,-0.4021855,-0.3593144
2024-09-11,JPM,0.9859801,1.122714,0.1890366
2024-09-11,TSLA,2.581553,-0.9537873,-1.353076
2024-09-11,XOM,0.5204702,0.7671502,-0.1690985
2024-09-12,AAPL,0.9340622,-0.3967956,-0.3665233
