qdate,gross,fees,traded,sold,trades
8033,7539.33,679.88,45954038.78,22980789.06,1120
8034,6028.73,688.12,46424335.46,23215182.10,1145
8035,6496.61,659.35,44668302.57,22337399.59,1125
8045,1171.85,635.15,43000521.58,21500846.71,1246
8046,4066.04,648.12,43906627.43,21955346.74,1252
8047,10142.21,654.90,44482620.79,22246381.50,1203
8048,-4416.73,630.59,42686447.48,21341015.38,1228
8049,8278.25,640.76,43531684.80,21769981.52,1200
8053,916.62,653.53,44071574.73,22036245.67,1267
8054,-1116.28,675.19,45574664.55,22786774.14,1257
8055,2123.36,649.82,43829509.21,21915816.29,1246
8056,11162.02,683.79,46040183.99,23025673.01,1295
8059,2269.17,435.28,29641665.80,14707149.55,1224
8060,-1422.89,672.38,45472395.24,22735486.18,1324
8061,9975.76,705.20,47461675.86,23785770.97,1300
8062,9711.28,687.43,46231136.15,23120423.71,1310
8063,2682.10,751.63,50510888.96,25256785.53,1301
8066,4452.71,673.86,45612841.43,22808647.07,1265
8067,-3902.34,663.37,44708919.95,22352508.80,1235
8068,-303.99,719.28,48557653.87,24278674.94,1217
8069,-2878.64,647.55,43963090.56,21980105.97,1220
8070,1880.28,690.61,46666198.00,23334039.14,1240
8073,7415.47,749.37,50606355.15,25306885.31,1244
8074,5554.80,657.45,44441445.42,22223500.11,1226
8075,6158.82,679.92,45797596.23,22901877.52,1233
8076,9412.33,630.01,42538127.95,21273770.14,1248
8077,-5688.85,718.16,48662691.89,24328501.52,1261
8080,-6400.20,693.41,46698759.24,23346179.52,1249
8081,-469.78,553.13,37143892.65,18571711.43,1212
8082,2951.96,725.93,49095506.41,24549229.19,1249
8083,187.53,740.76,49791807.28,24895997.41,1237
8084,-1000.86,659.61,44301705.42,22150352.28,1255
8088,-823.59,639.74,43051106.06,21525141.23,1199
8089,7225.15,668.02,44955943.72,22481584.44,1263
8090,-1631.51,601.20,40471952.88,20235160.69,1296
8091,1791.99,739.12,49691754.72,24846773.36,1263
8094,11729.49,737.28,49615287.68,24813508.59,1320
8095,8404.12,722.18,48582978.14,24295691.13,1285
8096,4027.74,696.77,46978710.80,23491369.27,1295
8097,-3768.74,701.22,47174208.04,23585219.65,1253
8098,-12331.22,732.49,49510447.90,24749058.34,1264
8101,-12463.63,683.98,46098737.52,23043136.94,1250
8102,0.00,0.00,0.00,0.00,0
8103,1540.75,689.46,46451685.74,23226613.25,1255
8104,8132.12,703.75,47200446.37,23604289.25,1254
8105,-2552.88,661.65,44557470.68,22277458.90,1279
8108,11334.88,713.47,48031685.53,24021510.20,1296
8109,-240.63,729.95,49014918.20,24507338.79,1275
8110,10409.82,734.88,49448800.08,24729604.96,1284
8111,10745.84,729.16,49005016.85,24507881.34,1270
8112,4927.18,681.41,45835045.42,22919986.30,1244
8115,6583.21,713.39,48241728.57,24124155.89,1285
8116,-5058.42,690.68,46563155.77,23279048.67,1239
8117,2446.83,689.04,46476714.28,23239580.56,1204
8118,6437.59,722.85,48769981.86,24388209.72,1253
8119,6210.27,718.15,48282958.73,24144584.50,1204
8122,10585.96,708.39,47752691.62,23881638.79,1206
8123,3137.27,700.86,47391231.49,23697184.38,1199
8124,2816.77,673.61,45579233.11,22791024.94,1233
8125,8891.12,721.31,48818231.78,24413561.45,1264
8126,-7316.04,719.16,48448215.86,24220449.91,1208
8129,1713.62,660.60,44548389.09,22275051.36,1218
8130,1179.09,664.44,44865560.46,22433369.78,1247
8131,5682.21,750.85,50663174.61,25334428.41,1257
8132,7521.97,775.85,52454744.04,26231133.01,1238
8133,4508.68,709.40,47862901.42,23933705.05,1227
8136,2491.67,584.03,39328807.64,19665649.66,1183
8137,10832.35,706.68,47358438.26,23684635.31,1239
8138,1206.07,680.96,45880277.70,22940741.89,1197
8139,2624.27,728.21,49055852.94,24529238.60,1237
8143,7169.54,600.06,40306072.98,20156621.26,1212
8144,3386.01,700.19,47182400.70,23592893.35,1219
8145,-4073.32,706.83,47547744.29,23771835.48,1222
8146,2186.84,728.77,48884900.25,24443543.55,1257
8147,6283.64,667.37,44937453.69,22471868.67,1295
8150,3603.42,766.96,51390854.46,25697228.94,1323
8151,1421.24,630.88,42204753.40,21103087.32,1311
8152,10159.14,759.72,50906405.98,25458282.56,1322
8153,3276.44,717.93,47980542.84,23991909.64,1282
8154,12817.24,695.31,46426312.12,23219564.68,1258
8157,18542.42,655.89,43743058.61,21880800.51,1316
8158,4036.70,661.67,44163037.84,22083537.27,1264
8159,4422.96,749.88,50197046.81,25100734.89,1282
8160,12698.20,659.31,44047917.75,22030307.98,1290
8161,9279.70,719.28,47705182.86,23857231.27,1308
8164,-10520.77,691.34,45941881.29,22965680.26,1334
8165,7940.04,688.85,45864122.56,22936031.30,1320
8166,2358.18,702.08,46664660.11,23333509.14,1268
8167,-1769.31,648.13,43017336.14,21507783.42,1318
8168,5220.81,735.13,49022340.48,24513780.65,1268
8171,-636.07,710.06,47485962.88,23742663.40,1246
8172,-1294.30,674.37,45023055.17,22510880.43,1247
8173,-14246.97,554.63,37060926.57,18523339.80,1264
8174,6711.62,707.20,47128362.67,23567537.14,1320
8175,3517.75,722.67,48020826.21,24012171.97,1313
8178,-29.43,639.15,42658732.72,21329351.65,1262
8179,-1137.98,739.50,49161983.96,24580422.99,1252
8180,7797.37,639.91,42724016.25,21365906.81,1271
8181,4346.17,633.34,42214386.93,21109366.55,1226
8182,3287.80,684.80,45767297.73,22885292.77,1219
8186,7484.49,703.92,46765682.60,23386583.55,1260
8187,3646.92,728.50,48734457.04,24369051.98,1263
8188,-15021.60,636.82,42567023.57,21276000.99,1232
8189,9126.00,687.97,45956813.51,22982969.75,1276
8192,5612.37,673.28,44761006.55,22383309.46,1249
8193,4832.55,743.65,49599905.68,24802369.12,1232
8194,1123.55,656.35,43903882.51,21952503.03,1235
8195,-2697.37,638.75,42611726.60,21304514.61,1219
8196,14996.42,810.16,53866470.38,26940733.40,1318
8199,3699.62,657.58,43718231.02,21860965.32,1318
8200,-2151.32,616.56,40805615.66,20401732.17,1266
8201,5663.52,701.42,46658667.75,23332165.64,1311
8202,4599.21,689.51,45585323.63,22794961.42,1293
8203,4839.24,652.37,43090027.79,21547433.51,1316
8207,-3552.72,748.60,49828176.02,24912311.65,1265
8208,2966.72,721.68,47951783.44,23977375.07,1307
8209,595.68,679.98,44997484.92,22499040.30,1281
8210,1441.52,723.51,48115774.77,24058608.14,1291
8213,11438.97,685.81,45497580.42,22754509.69,1300
8214,11067.73,668.35,44568136.53,22289602.14,1279
8215,-235.69,695.78,46270095.02,23134929.66,1270
8216,12028.87,716.57,47716472.42,23864250.65,1300
8217,3120.41,772.88,50998741.95,25500931.18,1288
8221,-6068.30,677.07,44723510.46,22358721.07,1266
8222,7970.11,702.60,46770950.73,23389460.42,1263
8223,10400.30,657.14,43869773.83,21940087.07,1237
8224,-415.15,681.17,45316818.88,22658201.87,1245
8227,4243.31,690.01,45917477.36,22960860.33,1251
8228,6544.15,652.76,43386540.68,21696542.42,1262
8229,-2675.70,675.31,44650130.09,22323727.20,1256
8230,7756.88,734.75,48954545.41,24481151.14,1299
8231,-406.31,643.32,42581997.13,21290795.41,1222
8234,-4342.67,621.82,41410766.28,20703211.81,1273
8235,3457.60,618.25,41108389.32,20555923.46,1217
8236,1759.37,578.37,38538723.67,19270241.53,1261
8237,10649.12,718.34,47742367.99,23876508.55,1283
8238,2765.04,735.45,49064393.04,24533579.03,1266
8241,4873.67,648.38,43425709.66,21715291.66,1247
8242,-1000.04,673.10,44976892.62,22487946.29,1262
8243,7343.53,676.76,45021090.53,22514217.04,1255
8244,4050.45,686.07,46013021.30,23008535.87,1259
8245,-1692.00,678.90,45470131.04,22734219.53,1239
8248,1668.43,664.91,44369424.57,22185546.50,1243
8249,421.76,583.24,39035573.61,19517997.68,1240
8250,1887.34,683.69,45766110.87,22883999.11,1266
8251,1428.40,691.13,46024529.81,23012979.11,1239
8252,4341.14,715.13,47595854.39,23800097.76,1230
8255,-7330.05,667.08,44359932.53,22176301.24,1199
8256,1947.87,648.43,43276337.06,21639142.46,1230
8257,3129.44,664.38,44339873.86,22171501.65,1216
8258,1152.61,660.52,44085915.62,22043534.11,1261
8259,4728.16,671.59,44902552.52,22453640.34,1198
8262,2260.76,672.18,44993121.92,22497691.34,1198
8263,2667.92,655.36,43697930.49,21850299.20,1213
8264,3087.79,625.19,41744779.70,20873933.74,1216
8265,1562.07,644.12,42973182.70,21487372.38,1199
8266,930.60,673.15,45188428.34,22594679.47,1200
8269,2341.43,577.43,38572341.17,19287341.30,1203
8270,1809.62,672.38,44781639.90,22391724.75,1183
8271,3816.70,685.16,45726413.76,22865115.23,1210
8272,-756.89,659.79,43935677.33,21967460.22,1261
8273,-6.44,622.74,41572766.06,20786379.81,1245
8276,4434.58,750.73,49718656.06,24861545.32,1323
8277,6339.94,679.79,45320983.40,22663661.67,1248
8278,-3106.92,599.86,39896185.81,19946539.44,1213
8279,-5005.80,651.48,43273130.86,21634062.53,1278
8280,5140.57,607.40,40026338.93,20015739.75,1251
8284,-415.29,652.62,43368391.53,21683988.12,1288
8285,1338.40,668.29,44313668.93,22157503.66,1256
8286,3375.94,642.72,42671141.30,21337258.62,1240
8287,6767.87,712.25,47542000.03,23774383.95,1243
8290,1803.04,607.84,40683712.00,20342757.52,1178
8291,2474.90,580.44,38424359.12,19213417.01,1259
8292,784.79,625.57,41507841.34,20754313.07,1235
8293,-97.81,665.65,44363938.81,22181920.50,1313
8294,10112.31,699.56,46125960.09,23068036.20,1261
8297,-33.90,655.23,43258994.08,21629480.09,1225
8298,2774.16,731.77,48280359.96,24141567.06,1286
8299,4686.91,645.04,42508215.43,21256451.17,1274
8300,1431.27,797.79,53039091.51,26520261.39,1330
8301,1356.90,654.30,43023816.52,21512586.71,1271
8304,1783.61,726.91,47853506.68,23927645.14,1355
8305,3847.86,598.30,39508638.60,19756243.23,1293
8306,1267.35,679.45,44860472.08,22430869.71,1262
8307,-2739.13,636.17,42066331.30,21031796.09,1318
8308,8476.88,670.64,43949700.84,21979088.86,1296
8311,8515.74,698.51,46209995.59,23109255.66,1282
8312,15814.28,742.60,49055300.09,24535557.18,1310
