qdate,gross,fees,traded,sold,trades
7941,5598.78,331.11,22453509.12,11229553.95,496
7942,2990.69,354.03,23897727.77,11950359.23,494
7943,3459.90,305.85,20499333.59,10251396.74,482
7944,102.14,305.06,20477151.70,10238626.92,490
7947,546.90,317.36,21319321.69,10659934.29,476
7948,3891.59,311.19,20992777.77,10498334.68,474
7949,-1582.73,331.97,22351324.18,11174870.73,460
7950,789.11,307.18,20707720.56,10354254.84,477
7951,-2517.16,309.73,20780606.15,10389044.50,470
7954,226.81,302.06,20196850.84,10098538.83,485
7955,-1578.63,290.60,19528206.48,9763313.93,475
7956,-3543.15,325.69,22025845.68,11011151.26,484
7957,5049.07,320.08,21612482.26,10808765.66,456
7958,-2296.44,269.77,18132284.64,9064994.10,472
7961,-4297.03,289.12,19565285.85,9780494.41,474
7962,3291.59,342.96,23117026.90,11560159.24,466
7963,-1995.49,287.65,19342980.73,9670492.62,459
7964,-6295.97,318.91,21542259.45,10767981.73,490
7965,-2551.99,328.20,22228177.80,11112812.91,494
7968,0.00,0.00,0.00,0.00,0
7969,-2635.24,307.81,20833290.73,10415327.74,460
7970,-2941.83,291.98,19713087.56,9855072.87,486
7971,1171.62,299.17,20204614.60,10102893.11,483
7972,-4629.62,291.92,19684805.41,9840087.90,472
7975,1466.33,307.43,20814944.75,10408205.53,461
7976,-4406.34,296.04,20160497.64,10078045.65,485
7977,1210.88,331.64,22431747.65,11216479.26,474
7978,-520.07,311.62,21189062.82,10594271.38,491
7979,-83.60,327.04,22185177.70,11092547.05,496
7982,1275.37,309.59,20990757.05,10496016.21,462
7983,8197.62,314.74,21287082.99,10647640.31,466
7984,-260.50,296.78,20087105.23,10043422.36,481
7985,-2840.51,276.45,18649532.38,9323345.94,445
7986,-247.98,287.75,19439204.25,9719478.13,469
7989,3085.59,288.10,19390439.27,9696762.43,455
7990,-8849.02,277.58,18793259.35,9392205.16,491
7991,-1310.71,310.63,20996238.63,10497463.96,479
7992,-2948.72,288.99,19593609.63,9795330.46,461
7993,-4605.43,304.00,20616105.64,10305750.11,504
7996,-6660.34,296.71,20031026.59,10012183.13,475
7997,7827.54,329.45,22267836.88,11137832.21,446
7998,2529.66,285.63,19346115.27,9674322.47,432
8000,-2889.87,119.75,8394637.37,4077188.98,215
8003,-2012.75,306.49,20730512.18,10364249.72,485
8004,347.65,290.36,19698331.01,9849339.33,484
8005,-12649.44,312.60,21095400.87,10541375.71,505
