qdate,gross,fees,traded,sold,trades
8326,4701.77,702.64,46464562.21,23234631.99,1303
8327,1778.79,630.89,41808585.49,20905182.13,1252
8328,2548.23,629.45,41457587.53,20730067.88,1269
8329,4276.02,668.17,43907498.93,21955887.47,1268
8332,2879.89,692.84,46155577.32,23079228.60,1260
8333,2801.61,639.33,42470298.78,21236550.20,1269
8334,1422.17,697.66,46234303.83,23117862.99,1283
8335,-1517.90,675.09,44930977.75,22464729.93,1277
8336,-980.88,647.30,42961300.33,21480159.73,1275
8339,-1953.22,630.57,41873529.36,20935788.07,1245
8340,-5063.92,646.84,42973839.46,21484387.76,1255
8341,-2100.62,677.79,44874757.51,22436328.44,1264
8342,-2358.99,692.38,45797241.71,22897441.36,1312
8343,696.71,671.06,44417357.66,22209027.18,1288
8346,-7318.69,621.12,41126552.17,20559616.74,1301
8347,-5032.89,662.54,43800469.34,21897718.22,1264
8348,-355.84,646.07,42668396.61,21334020.39,1249
8349,-5185.61,658.17,43840231.32,21917522.86,1279
8350,-11731.95,653.47,43485291.40,21736779.73,1312
8353,2094.62,630.70,42008163.98,21005129.30,1258
8354,1153.65,663.10,44128394.11,22064773.88,1292
8355,-3634.17,642.27,42841274.81,21418820.32,1277
8356,1627.00,671.44,44719813.50,22360720.25,1281
8357,3212.29,681.21,45369727.25,22686469.77,1261
8360,-8700.02,642.78,42614791.23,21303045.60,1213
8361,-20.77,612.92,40786179.43,20393079.33,1229
8362,-3783.16,637.81,42328780.73,21162498.78,1246
8364,3015.24,318.52,21193875.70,10547133.27,623
8367,5390.29,676.75,44894257.39,22449823.84,1260
8368,-1028.33,651.64,43544361.44,21771666.55,1235
8369,-11490.02,665.44,44168530.26,22078520.12,1263
8370,6994.89,689.69,46027158.78,23017076.83,1307
8371,2941.29,696.05,46599944.67,23301442.99,1285
8374,1768.51,670.88,44748078.83,22374923.67,1272
8375,6477.66,663.72,44097892.22,22052184.94,1256
8376,6163.02,654.26,43678401.95,21842282.48,1239
8377,-3855.12,650.76,43376403.41,21686274.14,1274
8378,-2431.13,636.19,42489915.45,21243742.16,1251
8381,4495.51,681.21,45309050.16,22656772.84,1264
8382,10040.81,706.66,47140679.49,23575360.16,1374
8383,1090.11,671.52,44831310.60,22416200.36,1256
8384,3091.76,660.13,43768943.57,21886017.67,1287
8385,5074.83,687.50,45576322.72,22790698.77,1305
8388,400.85,672.55,44499204.22,22249802.53,1307
